Smiles,PIC50
Cc1cc(C(=O)Nc2ccc(F)cc2Cl)n[nH]1,6.424812155
CCCCc1c[nH]nc1C(=O)Nc1ccc(F)cc1Cl,6.068033885
CCOC(=O)C1CCN(C(=O)CCc2cc(-c3ccc(C(F)(F)F)cc3)n(-c3ccc(Cl)nn3)n2)CC1,5
CC(C)(c1ccc(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1,5.15490196
CCCCC/C=C\CC(=O)/C=C/C=C\C/C=C\CCCC(=O)O,5.522878745
CCCC(=O)Nc1ccc(Cl)c(NC(=O)c2cc3ccccc3o2)c1,4
Nc1[nH]c(C(=O)c2ccccc2)c(-c2ccc3ccccc3c2)c1C(=O)c1ccc(Cl)c(Cl)c1,4.928117993
CCOC(=O)c1ccc(N)[nH]1,4
CCCNC(=O)c1[nH]c2cc(Cl)ccc2c1C(=O)C[C@H](C)CCCC(C)C,4.698970004
COc1cc(C)cc2c(-c3c(O)cc(O)c4c3C[C@@H](C)N[C@@H]4C)cc(-c3ccc4c(-c5c(O)cc(O)c6c5C[C@@H](C)N[C@@H]6C)c(C)cc(OC)c4c3O)c(O)c12,4.301029996
Fc1ccc2nc(-c3cc[nH]n3)oc2c1,6.145086978
CCc1cc(-c2[nH]ncc2Oc2ccccc2)c(O)cc1O,5.036212173
CC(C)=CCC/C(C)=C/COc1cc(=O)oc2ccccc12,4.370590401
O=C(Nc1ccc2ccccc2n1)c1cc[nH]n1,5.427128398
COc1ccc(-c2nc3c(C(N)=O)cccc3[nH]2)cc1,5.021819483
Cc1ccc(-c2cc(CCC(=O)N3CCN(Cc4ccc(C(C)(C)C)cc4)CC3)nn2-c2ccc3ccccc3n2)cc1,5
CNc1oc(-c2cccc(Cl)c2Cl)nc1C#N,6.337242168
CCCCNC(=O)c1cc(C(C)CCC=C(C)C)sc1N,4.586700236
O=C(Nc1cnc2ccccc2c1)c1cc[nH]n1,6.744727495
CNc1oc(-c2ccc(F)cc2)nc1C#N,4.823908741
CNc1nccc(-c2cccc3ccccc23)n1,4.397940009
Oc1cc(Br)cc2c1Oc1cc(Br)cc(Br)c1O2,6.096910013
O=C1N/C=C/c2ccc(c(Br)c2)Oc2cc(cc(Br)c2O)CCNC(=O)/C(=N/O)Cc2ccc(c(Br)c2)Oc2cc(cc(Br)c2O)C/C1=N\O,5.397940009
CCOc1ccc(Br)cc1,4
Oc1c(Br)c(Br)c(Br)c(Br)c1Oc1ccc(Br)cc1Br,5.744727495
O=C(Nc1ccc(F)cc1Cl)c1n[nH]cc1F,7.37675071
C[C@H](c1nccs1)N(C)C(=O)[C@H](C[C@H](C)C(Cl)(Cl)Cl)NC(=O)C[C@H](C)C(Cl)(Cl)Cl,3.301029996
