Cat,Name,Smiles
S3924,Ginsenoside Rb1,CC(C)=CCCC(C)(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)C3CCC4(C)C3C(O)CC5C6(C)CCC(OC7OC(CO)C(O)C(O)C7OC8OC(CO)C(O)C(O)C8O)C(C)(C)C6CCC45C
S3925,(-)-Epicatechin gallate,OC1=CC2=C(CC(OC(=O)C3=CC(=C(O)C(=C3)O)O)C(O2)C4=CC=C(O)C(=C4)O)C(=C1)O
S3926,Forsythin,COC1=CC=C(C=C1OC)C2OCC3C2COC3C4=CC(=C(OC5OC(CO)C(O)C(O)C5O)C=C4)OC
S3929,Liquiritigenin,OC1=CC=C(C=C1)C2CC(=O)C3=CC=C(O)C=C3O2
S3930,Liquiritin,OCC1OC(OC2=CC=C(C=C2)C3CC(=O)C4=C(O3)C=C(O)C=C4)C(O)C(O)C1O
S3932,Astilbin,CC1OC(OC2C(OC3=C(C(=CC(=C3)O)O)C2=O)C4=CC(=C(O)C=C4)O)C(O)C(O)C1O
S3934,Acetyl Resveratrol,CC(=O)OC1=CC=C(C=C1)/C=C/C2=CC(=CC(=C2)OC(C)=O)OC(C)=O
S3935,Nonivamide,CCCCCCCCC(=O)NCC1=CC(=C(O)C=C1)OC
S3937,Pterostilbene,COC1=CC(=CC(=C1)\C=C\C2=CC=C(O)C=C2)OC
S3939,4'-Methoxyresveratrol,COC1=CC=C(C=C1)\C=C\C2=CC(=CC(=C2)O)O
S3940,3'-Hydroxypterostilbene,COC1=CC(=CC(=C1)/C=C/C2=CC(=C(O)C=C2)O)OC
S3941,Pinocembrin,OC1=CC2=C(C(=O)CC(O2)C3=CC=CC=C3)C(=C1)O
S3942,Cardamonin,COC1=CC(=CC(=C1C(=O)C=CC2=CC=CC=C2)O)O
S3951,Tannic acid,OC1=CC(=CC(=C1O)O)C(=O)OC2=C(O)C(=CC(=C2)C(=O)OCC3OC(OC(=O)C4=CC(=C(O)C(=C4)O)OC(=O)C5=CC(=C(O)C(=C5)O)O)C(OC(=O)C6=CC(=C(O)C(=C6)O)OC(=O)C7=CC(=C(O)C(=C7)O)O)C(OC(=O)C8=CC(=C(O)C(=C8)O)OC(=O)C9=CC(=C(O)C(=C9)O)O)C3OC(=O)C%10=CC(=C(O)C(=C%10)O)OC(=O)C%11=CC(=C(O)C(=C%11)O)O)O
S3952,"3,4-Dihydroxybenzaldehyde",OC1=CC=C(C=O)C=C1O
S3956,Tetramethylpyrazine,CC1=NC(=C(C)N=C1C)C
S3957,Gamma-Oryzanol,COC1=CC(=CC=C1O)/C=C/C(=O)OC2CCC34CC35CCC6(C)C(CCC6(C)C5CCC4C2(C)C)C(C)CCC=C(C)C
S3960,Higenamine hydrochloride,Cl.OC1=CC=C(CC2NCCC3=CC(=C(O)C=C23)O)C=C1
S3967,Flavone,O=C1C=C(OC2=C1C=CC=C2)C3=CC=CC=C3
S3969,Veratric acid,COC1=C(OC)C=C(C=C1)C(O)=O
S3974,(+)-Catechin hydrate,OC1CC2=C(OC1C3=CC(=C(O)C=C3)O)C=C(O)C=C2O
S3975,Protocatechuic acid,OC(=O)C1=CC(=C(O)C=C1)O
S3980,Pyridoxine,CC1=NC=C(CO)C(=C1O)CO
S3981,Sinapinic Acid,COC1=C(O)C(=CC(=C1)\C=C\C(O)=O)OC
S3984,Nordihydroguaiaretic acid (NDGA),CC(CC1=CC=C(O)C(=C1)O)C(C)CC2=CC=C(O)C(=C2)O
S3990,Trans-Anethole,COC1=CC=C(\C=C\C)C=C1
S3993,Ethyl Vanillate,CCOC(=O)C1=CC(=C(O)C=C1)OC
S3996,Thioctic acid,OC(=O)CCCCC1CCSS1
S3998,(+)-¦Á-Lipoic acid,OC(=O)CCCCC1CCSS1
S4017,Allylthiourea,NC(=S)NCC=C
S4073,Sodium 4-Aminosalicylate,[Na+].NC1=CC(=C(C=C1)C([O-])=O)O
S4083,Vitamin A Acetate,CC(=O)OC/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C
S4084,Lomerizine 2HCl,Cl.Cl.COC1=C(OC)C(=C(CN2CCN(CC2)C(C3=CC=C(F)C=C3)C4=CC=C(F)C=C4)C=C1)OC
S4118,Histamine 2HCl,Cl.Cl.NCCC1=C[NH]C=N1
S4128,Troxipide,COC1=C(OC)C(=CC(=C1)C(=O)NC2CCCNC2)OC
S4132,Deoxyarbutin,OC1=CC=C(OC2CCCCO2)C=C1
S4170,Coumarin,O=C1OC2=C(C=CC=C2)C=C1
S4198,Aminothiazole,NC1=NC=CS1
S4206,Cysteamine HCl,Cl.NCCS
S4238,Cepharanthine,COC1=C2OC3=CC=C(CC4N(C)CCC5=C4C(=C6OCOC6=C5)OC7=C(OC)C=C8CCN(C)C(CC(=C2)C=C1)C8=C7)C=C3
S4261,EUK 134,COC1=C2O[Mn]|3|4(Cl)OC5=C(OC)C=CC=C5C=N|3CCN|4=CC2=CC=C1
S4511,6-Benzylaminopurine,C(NC1=NC=NC2=C1[NH]C=N2)C3=CC=CC=C3
S4539,Salicylic acid,OC(=O)C1=C(O)C=CC=C1
S4543,Trimetazidine dihydrochloride,Cl.Cl.COC1=C(OC)C(=C(CN2CCNCC2)C=C1)OC
S4550,Azelaic acid,OC(=O)CCCCCCCC(O)=O
S4561,Danthron,OC1=CC=CC2=C1C(=O)C3=C(O)C=CC=C3C2=O
S4603,Gallic acid,OC(=O)C1=CC(=C(O)C(=C1)O)O
S4636,Teneligliptin hydrobromide,CC1=N[N](C2=CC=CC=C2)C(=C1)N3CCN(CC3)C4CNC(C4)C(=O)N5CCSC5
S4648,Dantrolene sodium hemiheptahydrate,CCC1CN2CCC1CC2C(O)C3=C4C=C(OC)C=CC4=NC=C3
S4676,Gluconolactone,OCC1OC(=O)C(O)C(O)C1O
S4686,Vitamin E,CC(C)CCCC(C)CCCC(C)CCCC1(C)CCC2=C(C)C(=C(C)C(=C2O1)C)O
S4697,Saxagliptin hydrate,O.NC(C(=O)N1C(CC2CC12)C#N)[C]34CC5[CH2]C(C[C](O)(C5)C3)C4
S4701,2-Deoxy-D-glucose (2-DG),OCC1OC(O)CC(O)C1O
S4706,Eugenol,COC1=C(O)C=CC(=C1)CC=C
S4711,Esculetin,OC1=CC2=C(C=CC(=O)O2)C=C1O
S4712,Diethylmaleate,CCOC(=O)\C=C/C(=O)OCC
S4722,(+)-Catechin,OC1CC2=C(OC1C3=CC(=C(O)C=C3)O)C=C(O)C=C2O
S4723,(-)Epicatechin,OC1CC2=C(OC1C3=CC(=C(O)C=C3)O)C=C(O)C=C2O
S4731,Perphenazine,OCCN1CCN(CCCN2C3=CC=CC=C3SC4=C2C=C(Cl)C=C4)CC1
S4732,MPTP hydrochloride,Cl.CN1CCC(=CC1)C2=CC=CC=C2
S4735,Salvianolic acid B,OC(=O)C(CC1=CC(=C(O)C=C1)O)OC(=O)/C=C/C2=CC=C(O)C3=C2C(C(O3)C4=CC=C(O)C(=C4)O)C(=O)OC(CC5=CC=C(O)C(=C5)O)C(O)=O
S4737,Psoralen,O=C1OC2=C(C=C1)C=C3C=COC3=C2
S4739,Oxyresveratrol,OC1=CC=C(\C=C\C2=CC(=CC(=C2)O)O)C(=C1)O
S4743,Wogonin,COC1=C(O)C=C(O)C2=C1OC(=CC2=O)C3=CC=CC=C3
S4753,Ganoderic acid A,CC(CC(=O)CC(C)C(O)=O)C1CC(O)C2(C)C3=C(C(=O)CC12C)C4(C)CCC(=O)C(C)(C)C4CC3O
S4759,p-Coumaric Acid,OC(=O)\C=C\C1=CC=C(O)C=C1
S4761,Thymoquinone,CC(C)C1=CC(=O)C(=CC1=O)C
S4762,"2,4-Dihydroxyacetophenone",CC(=O)C1=C(O)C=C(O)C=C1
S4763,4-Hydroxychalcone,OC1=CC=C(C=C1)/C=C/C(=O)C2=CC=CC=C2
S4765,Syringaldehyde,COC1=C(O)C(=CC(=C1)C=O)OC
S4766,Gibberellic acid,CC12C(O)C=CC3(OC1=O)C4CCC5(O)CC4(CC5=C)C(C23)C(O)=O
S4771,¦Â-thujaplicin,CC(C)C1=CC=CC(=O)C(=C1)O
S4781,Xanthoxyline,COC1=CC(=C(C(C)=O)C(=C1)OC)O
S4783,Benzyl isothiocyanate,S=C=NCC1=CC=CC=C1
S4787,Methyl syringate,COC(=O)C1=CC(=C(O)C(=C1)OC)OC
S4809,3-Indolepropionic acid,OC(=O)CCC1=C[NH]C2=C1C=CC=C2
S4815,L-Cysteine HCl,Cl.NC(CS)C(O)=O
S4849,Levocetirizine Dihydrochloride,Cl.Cl.OC(=O)COCCN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=C(Cl)C=C3
S4862,Squalene,CC(C)=CCC\C(C)=C\CC\C(C)=C\CC\C=C(C)\CC\C=C(C)\CCC=C(C)C
S4866,Nicarbazin,CC1=NC(=NC(=C1)C)O.[O-][N+](=O)C2=CC=C(NC(=O)NC3=CC=C(C=C3)[N+]([O-])=O)C=C2
S4902,QNZ (EVP4593),NC1=CC2=C(NCCC3=CC=C(OC4=CC=CC=C4)C=C3)N=CN=C2C=C1
S4936,Antiarol,COC1=CC(=CC(=C1OC)OC)O
S4937,4'-Hydroxychalcone,OC1=CC=C(C=C1)C(=O)\C=C\C2=CC=CC=C2
S4940,Maltol,CC1=C(O)C(=O)C=CO1
S4941,Farnesol,CC(C)=CCCC(/C)=C/CCC(/C)=C/CO
S4957,Linalool,CC(C)=CCCC(C)(O)C=C
S4963,Purpurin,OC1=CC(=C2C(=O)C3=C(C=CC=C3)C(=O)C2=C1O)O
S4964,Lactobionic acid,OCC(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)C(O)C(O)=O
S4966,4-Methylesculetin,CC1=CC(=O)OC2=C1C=C(O)C(=C2)O
S4977,Efonidipine,CC1=C(C(C2=CC(=CC=C2)[N+]([O-])=O)C(=C(C)N1)[P]3(=O)OCC(C)(C)CO3)C(=O)OCCN(CC4=CC=CC=C4)C5=CC=CC=C5
S4981,Cyclogalegenol,CC(C)(O)C1CCC(C)(O1)C2C(O)CC3(C)C4CC(O)C5C(C)(C)C(O)CCC56CC46CCC23C
S4990,TBHQ,CC(C)(C)C1=C(O)C=CC(=C1)O
S5079,Sitagliptin,NC(CC(=O)N1CC[N]2C(=NN=C2C(F)(F)F)C1)CC3=C(F)C=C(F)C(=C3)F
S5104,Tea polyphenol,
S5105,Proanthocyanidins,OC1C(O)C(OC2CC3=C(OC2C4=CC=C(O)C(=C4)O)C=C(O)C=C3O)(OC5=C1C(=CC(=C5)O)O)C6=CC=C(O)C(=C6)O
S5109,Ademetionine,C[S+](CCC(N)C([O-])=O)CC1OC(C(O)C1O)[N]2C=NC3=C2N=CN=C3N
S5110,Safflower Yellow,OCC1OC(C(O)C(O)C1O)C2(O)C(=C(\C=C/3C(=O)C(=C(O)C(O)(C4OC(CO)C(O)C(O)C4O)C3=O)C(=O)\C=C\C5=CC=C(O)C=C5)C(=O)C(=C2O)C(=O)\C=C\C6=CC=C(O)C=C6)O
S5113,Propyl gallate,CCCOC(=O)C1=CC(=C(O)C(=C1)O)O
S5121,Phytol,CC(C)CCCC(C)CCCC(C)CCC\C(C)=C\CO
S5133,Sodium erythorbate,OCC(O)C1OC(=O)C(=C1O[Na])O
S5143,Citropten,COC1=CC2=C(C=CC(=O)O2)C(=C1)OC
S5144,Neferine,COC1=CC=C(CC2N(C)CCC3=C2C=C(OC4=CC(=CC=C4O)CC5N(C)CCC6=C5C=C(OC)C(=C6)OC)C(=C3)OC)C=C1
S5151,Gypenoside,CC1OC(OC2C(OCC(O)C2OC3OCC(O)C(O)C3O)OC4CCC5(C=O)C(CCC6(C)C5CCC7C(CCC67C)C(O)(CCC=C(C)C)COC8OC(CO)C(O)C(O)C8O)C4(C)C)C(O)C(O)C1O
S5157,Thymol,CC(C)C1=CC=C(C)C=C1O
S5174,Kojic acid,OCC1=CC(=O)C(=CO1)O
S5221,Diludine,CCOC(=O)C1=C(C)NC(=C(C1)C(=O)OCC)C
S5284,Adenosine 5'-monophosphate monohydrate,O.NC1=NC=NC2=C1N=C[N]2C3OC(CO[P](O)(O)=O)C(O)C3O
S5312,Urolithin A,OC1=CC=C2C(=C1)OC(=O)C3=CC(=CC=C23)O
S5314,"HTHQ (1-O-Hexyl-2,3,5-trimethylhydroquinone)",CCCCCCOC1=CC(=C(O)C(=C1C)C)C
S5318,Acacetin,COC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(O)C=C3O
S5343,Vanillic acid,COC1=C(O)C=CC(=C1)C(O)=O
S5345,(+/-)-nerolidol,CC(C)=CCC/C(C)=C/CCC(C)(O)C=C
S5369,Ethoxyquin,CCOC1=CC2=C(NC(C)(C)C=C2C)C=C1
S5380,7-Hydroxyflavone,OC1=CC=C2C(=O)C=C(OC2=C1)C3=CC=CC=C3
S5440,Berberine Sulfate,COC1=C(OC)C2=C(C=C1)C=C3C4=C(CC[N+]3=C2)C=C5OCOC5=C4.O[S]([O-])(=O)=O
S5450,Sofalcone,CC(C)=CCOC1=CC=C(/C=C/C(=O)C2=C(OCC(O)=O)C=C(OCC=C(C)C)C=C2)C=C1
S5451,Ferulic acid methyl ester,COC(=O)\C=C\C1=CC=C(O)C(=C1)OC
S5453,Hyperoside,OCC1OC(OC2=C(OC3=C(C(=CC(=C3)O)O)C2=O)C4=CC(=C(O)C=C4)O)C(O)C(O)C1O
S5456,Isobavachalcone,CC(C)=CCC1=C(O)C(=CC=C1O)C(=O)\C=C\C2=CC=C(O)C=C2
S5457,Curculigoside,COC1=C(C(=O)OCC2=CC(=CC=C2OC3OC(CO)C(O)C(O)C3O)O)C(=CC=C1)OC
S5458,Verbascoside,CC1OC(OC2C(O)C(OCCC3=CC=C(O)C(=C3)O)OC(CO)C2OC(=O)\C=C\C4=CC=C(O)C(=C4)O)C(O)C(O)C1O
S5460,Vitexin-2-O-rhaMnoside,CC1OC(OC2C(O)C(O)C(CO)OC2C3=C(O)C=C(O)C4=C3OC(=CC4=O)C5=CC=C(O)C=C5)C(O)C(O)C1O
S5464,Psoralidin,CC(C)=CCC1=CC2=C(OC(=O)C3=C2OC4=C3C=CC(=C4)O)C=C1O
S5465,Morroniside,COC(=O)C1=COC(OC2OC(CO)C(O)C(O)C2O)C3C(C)OC(O)CC13
S5466,Saikosaponin A,CC1OC(OC2CCC3(C)C(CCC4(C)C3C=CC56OCC7(CCC(C)(C)CC57)C(O)CC46C)C2(C)CO)C(O)C(OC8OC(CO)C(O)C(O)C8O)C1O
S5469,Bavachin,CC(C)=CCC1=CC2=C(OC(CC2=O)C3=CC=C(O)C=C3)C=C1O
S5520,Phenidone,O=C1CCN(N1)C2=CC=CC=C2
S5529,Galangin,OC1=CC2=C(C(=C1)O)C(=O)C(=C(O2)C3=CC=CC=C3)O
S5548,7-Hydroxy-4-chromone,OC1=CC=C2C(=O)C=COC2=C1
S5550,Ethyl gallate,CCOC(=O)C1=CC(=C(O)C(=C1)O)O
S5551,6-Paradol,CCCCCCCC(=O)CCC1=CC=C(O)C(=C1)OC
S5558,D-Pantothenate Sodium,[Na+].CC(C)(CO)C(O)C(=O)NCCC([O-])=O
S5600,Flavokawain A,COC1=CC=C(/C=C/C(=O)C2=C(OC)C=C(OC)C=C2O)C=C1
S5604,Diphenylamine Hydrochloride,Cl.N(C1=CC=CC=C1)C2=CC=CC=C2
S5616,4-Methylcatechol,CC1=CC(=C(O)C=C1)O
S5623,Bedaquiline,COC1=NC2=CC=C(Br)C=C2C=C1C(C3=CC=CC=C3)C(O)(CCN(C)C)C4=CC=CC5=CC=CC=C45
S5640,Ethyl caffeate,CCOC(=O)/C=C/C1=CC(=C(O)C=C1)O
S5642,Homovanillic acid,COC1=C(O)C=CC(=C1)CC(O)=O
S5686,Tryptanthrin,O=C1N2C3=C(C=CC=C3)C(=O)C2=NC4=CC=CC=C14
S5688,Tropolone (NSC 89303),OC1=CC=CC=CC1=O
S5757,Isoeugenol,COC1=C(O)C=CC(=C1)\C=C\C
S5759,Methyl linoleate,CCCCC/C=C\C\C=C/CCCCCCCC(=O)OC
S5771,Sulforaphane,C[S](=O)CCCCN=C=S
S5779,Trimetazidine,COC1=CC=C(CN2CCNCC2)C(=C1OC)OC
S5804,N-Acetylcysteine amide,CC(=O)NC(CS)C(N)=O
S5834,p-Coumaric acid ethyl ester,CCOC(=O)\C=C\C1=CC=C(O)C=C1
S5842,Cabergoline,CCNC(=O)N(CCCN(C)C)C(=O)C1CC2C(CC3=C[NH]C4=C3C2=CC=C4)N(CC=C)C1
S5851,4'-Methoxychalcone,COC1=CC=C(C=C1)C(=O)\C=C\C2=CC=CC=C2
S5887,Khellin,COC1=C2OC(=CC(=O)C2=C(OC)C3=C1OC=C3)C
S5928,Zerumbone,CC\1=C/CC(C)(C)\C=C\C(=O)\C(=C\CC1)C
S5929,4-Octyl Itaconate,CCCCCCCCOC(=O)CC(=C)C(O)=O
S6018,"2,3,4-Trihydroxybenzoic acid",OC(=O)C1=C(O)C(=C(O)C=C1)O
S6071,"3,5-Dimethoxyphenol",COC1=CC(=CC(=C1)OC)O
S6104,(¡À)-¦Á-Tocopherol,CC(C)CCCC(C)CCCC(C)CCCC1(C)CCC2=C(C)C(=C(C)C(=C2O1)C)O
S6125,Glycerol trilinoleate,CCCCC/C=C\C\C=C/CCCCCCCC(=O)OCC(COC(=O)CCCCCCC\C=C/C/C=C\CCCCC)OC(=O)CCCCCCC\C=C/C/C=C\CCCCC
S6182,"L-Gulono-1,4-lactone",OCC(O)C1OC(=O)C(O)C1O
S6202,Butylated hydroxytoluene,CC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C
S6228,Indole-2-carboxylic acid,OC(=O)C1=CC2=C([NH]1)C=CC=C2
S6229,Lauryl gallate,CCCCCCCCCCCCOC(=O)C1=CC(=C(O)C(=C1)O)O
S6243,Ethyl pyruvate,CCOC(=O)C(C)=O
S6254,Hydrocinnamic acid,OC(=O)CCC1=CC=CC=C1
S6264,Rutin hydrate,CC1OC(OCC2OC(OC3=C(OC4=C(C(=CC(=C4)O)O)C3=O)C5=CC(=C(O)C=C5)O)C(O)C(O)C2O)C(O)C(O)C1O
S6293,"2,4-Dihydroxybenzoic acid",OC(=O)C1=C(O)C=C(O)C=C1
S6294,"1,3,5-Trimethoxybenzene",COC1=CC(=CC(=C1)OC)OC
S6323,"2,6-Dimethoxybenzoic acid",COC1=CC=CC(=C1C(O)=O)OC
S6338,"3,4-Dihydroxyhydrocinnamic acid",OC(=O)CCC1=CC(=C(O)C=C1)O
S6348,(+)-Delta-Tocopherol,CC(C)CCCC(C)CCCC(C)CCCC1(C)CCC2=C(O1)C(=CC(=C2)O)C
S6349,NADH Disodium Salt Hydrate,[Na+].[Na+].NC(=O)C1=CN(C=CC1)C2OC(CO[P]([O-])(=O)O[P]([O-])(=O)OCC3OC(C(O)C3O)[N]4C=NC5=C4N=CN=C5N)C(O)C2O
S6402,2-Aminoethanethiol,NCCS
S6420,AGI 1067,CC(C)(C)C1=C(O)C(=CC(=C1)SC(C)(C)SC2=CC(=C(OC(=O)CCC(O)=O)C(=C2)C(C)(C)C)C(C)(C)C)C(C)(C)C
S6426,Hesperidin methylchalcone,COC1=C(O)C=C(/C=C/C(=O)C2=C(OC)C=C(OC3OC(COC4OC(C)C(O)C(O)C4O)C(O)C(O)C3O)C=C2O)C=C1
S6429,Coniferyl alcohol,COC1=CC(=CC=C1O)/C=C/CO
S6441,Riboflavin Tetrabutyrate,CCCC(=O)OCC(OC(=O)CCC)C(OC(=O)CCC)C(CN1C2=C(C=C(C)C(=C2)C)N=C3C(=O)NC(=O)N=C13)OC(=O)CCC
S6601,(¡À)-Equol,OC1=CC=C(C=C1)C2COC3=C(C2)C=CC(=C3)O
S7149,NSC 319726,CC(=N\NC(=S)N1CCC1)/C2=NC=CC=C2
S7171,Setanaxib (GKT137831),CN(C)C1=CC=CC(=C1)C2=C3C(=O)N(NC3=CC(=O)N2C)C4=CC=CC=C4Cl
S7273,SC75741,O=C(NC1=NC2=CC=C(C=C2[NH]1)C(=O)C3=CC=CC=C3)C4=CSC(=N4)C5CCN(CC5)C6=C7SC=CC7=NC=N6
S7317,WZ4003,CCC(=O)NC1=CC=CC(=C1)OC2=NC(=NC=C2Cl)NC3=C(OC)C=C(C=C3)N4CCN(C)CC4
S7318,HTH-01-015,CN1C(=O)C2=C(C=C3C=CC=CC3=C2)N(C)C4=NC(=NC(=C14)C)NC5=C[N](N=C5)C6CCNCC6
S7351,JSH-23,CC1=CC=C(NCCCC2=CC=CC=C2)C(=C1)N
S7380,Leupeptin Hemisulfate,CC(C)CC(NC(C)=O)C(=O)NC(CC(C)C)C(=O)NC(CCCNC(N)=N)C=O
S7414,Caffeic Acid Phenethyl Ester,OC1=CC=C(/C=C/C(=O)OCCC2=CC=CC=C2)C=C1O
S7445,APX-3330,CCCCCCCCCC(=C/C1=C(C)C(=O)C(=C(OC)C1=O)OC)\C(O)=O
S7448,CORM-3,Cl[Ru]1(NCC(=O)O1)(C=O)(C=O)C=O
S7501,HO-3867,CC1(C)C=C(CN2C\C(=C/C3=CC=C(F)C=C3)C(=O)C(/C2)=C/C4=CC=C(F)C=C4)C(C)(C)N1O
S7551,Piperlongumine,COC1=CC(=CC(=C1OC)OC)/C=C/C(=O)N2CCC=CC2=O
S7589,N6022,CC1=C(C=CC(=C1)C(N)=O)[N]2C(=CC=C2C3=CC=C(C=C3)[N]4C=CN=C4)CCC(O)=O
S7660,Obeticholic Acid,CCC1C(O)C2C3CCC(C(C)CCC(O)=O)C3(C)CCC2C4(C)CCC(O)CC14
S7672,Omaveloxolone (RTA-408),CC1(C)CCC2(CCC3(C)C(C2C1)C(=O)C=C4C3(C)CCC5C(C)(C)C(=O)C(=CC45C)C#N)NC(=O)C(C)(F)F
S7724,Eprenetapopt (APR-246),COCC1(CO)N2CCC(CC2)C1=O
S7828,Licochalcone A,COC1=C(/C=C/C(=O)C2=CC=C(O)C=C2)C=C(C(=C1)O)C(C)(C)C=C
S7864,Oltipraz,CC1=C(SSC1=S)C2=NC=CN=C2
S7867,Oleuropein,COC(=O)C1=COC(OC2OC(CO)C(O)C(O)C2O)\C(=C\C)C1CC(=O)OCCC3=CC(=C(O)C=C3)O
S7889,Xanthohumol,COC1=C(C(=C(CC=C(C)C)C(=C1)O)O)C(=O)\C=C\C2=CC=C(O)C=C2
S7898,GSK621,COC1=CC(=CC=C1)N2C(=O)NC3=C([N](C(=C3)Cl)C4=CC=C(C=C4)C5=C(O)C(=CC=C5)OC)C2=O
S7947,PX-12,CCC(C)SSC1=NC=C[NH]1
S7953,ETC-1002,CC(C)(CCCCCC(O)CCCCCC(C)(C)C(O)=O)C(O)=O
S7995,Ripasudil (K-115) hydrochloride dihydrate,O.O.Cl.CC1CNCCCN1[S](=O)(=O)C2=CC=CC3=CN=CC(=C23)F
S8036,Butein,OC1=CC(=C(C=C1)C(=O)\C=C\C2=CC(=C(O)C=C2)O)O
S8078,Bardoxolone Methyl,COC(=O)C12CCC(C)(C)CC1C3C(=O)C=C4C(C)(CCC5C(C)(C)C(=O)C(=CC45C)C#N)C3(C)CC2
S8132,Deguelin,COC1=CC2=C(C=C1OC)C3C(CO2)OC4=C5C=CC(C)(C)OC5=CC=C4C3=O
S8173,Verubecestat (MK-8931) Trifluoroacetate,CN1C(=N)NC(C)(C[S]1(=O)=O)C2=CC(=CC=C2F)NC(=O)C3=CC=C(F)C=N3.OC(=O)C(F)(F)F
S8178,Wnt agonist 1,Cl.COC1=CC(=CC=C1)C2=NC(=NC(=C2)NCC3=CC=C4OCOC4=C3)N
S8261,GSK583,CC(C)(C)[S](=O)(=O)C1=CC=C2N=CC=C(NC3=N[NH]C4=C3C=C(F)C=C4)C2=C1
S8279,(¡À)-Shikonin,CC(C)=CCC(O)C1=CC(=O)C2=C(O)C=CC(=C2C1=O)O
S8281,CCF642,COC1=CC=C(C=C1)N2C(=S)S\C(=C/C3=CC=C(S3)[N+]([O-])=O)C2=O
S8288,VLX1570,[O-][N+](=O)C1=C(F)C=CC(=C1)\C=C2/CCN(C\C(=C/C3=CC=C(F)C(=C3)[N+]([O-])=O)C2=O)C(=O)C=C
S8289,NQDI-1,CCOC(=O)C1=C2C3=C(C=CC=C3)C(=O)C4=C2C(=CC=C4)NC1=O
S8291,Atractylenolide I,CC1=C2CC3C(=C)CCCC3(C)C=C2OC1=O
S8319,"7,8-Dihydroxyflavone",OC1=CC=C2C(=O)C=C(OC2=C1O)C3=CC=CC=C3
S8335,PF-06409577,OC(=O)C1=C[NH]C2=CC(=C(C=C12)C3=CC=C(C=C3)C4(O)CCC4)Cl
S8358,WNK463,CC(C)(C)NC(=O)C1=CN=C[N]1C2CCN(CC2)C3=NC=C(C=C3)C4=NN=C(O4)C(F)(F)F
S8370,BGP-15 2HCl,Cl.Cl.NC(=N\OCC(O)CN1CCCCC1)/C2=CC=CN=C2
S8405,RRx-001,[O-][N+](=O)C1(CN(C1)C(=O)CBr)[N+]([O-])=O
S8432,Troglitazone (CS-045),CC1=C(O)C(=C2CCC(C)(COC3=CC=C(CC4SC(=O)NC4=O)C=C3)OC2=C1C)C
S8447,8-OH-DPAT (8-Hydroxy-DPAT),CCCN(CCC)C1CCC2=CC=CC(=C2C1)O
S8483,CBL0137 HCl,Cl.CC(C)NCC[N]1C2=C(C=C(C=C2)C(C)=O)C3=C1C=CC(=C3)C(C)=O
S8484,GSK2982772,CN1C(=O)C(COC2=CC=CC=C12)NC(=O)C3=N[NH]C(=N3)CC4=CC=CC=C4
S8493,PD-166866 (PD166866),COC1=CC(=CC(=C1)C2=CC3=C(N=C(N)N=C3)N=C2NC(=O)NC(C)(C)C)OC
S8558,Tofogliflozin(CSG 452),O.CCC1=CC=C(CC2=CC3=C(COC34OC(CO)C(O)C(O)C4O)C=C2)C=C1
S8564,Verubecestat (MK-8931),CN1C(=N)NC(C)(C[S]1(=O)=O)C2=CC(=CC=C2F)NC(=O)C3=CC=C(F)C=N3
S8642,GSK'963,CC(C)(C)C(=O)N1N=CCC1C2=CC=CC=C2
S8654,ex229 (compound 991),C[N]1C=CC2=C1C=CC(=C2)C3=C(Cl)C=C4[NH]C(=NC4=C3)OC5=CC(=C(C)C=C5)C(O)=O
S8662,PTC-028,CC1=NC2=C(C=C(F)C(=C2)F)[N]1C3=CN=CC(=N3)NC4=CC=C(C=C4)C(F)(F)F
S8790,ML385,CC1=C(N=C(NC(=O)CC2=CC3=C(OCO3)C=C2)S1)C4=CC=C5N(CCC5=C4)C(=O)C6=C(C)C=CC=C6
S8803,MK-3903,CC1=CC=C(OC2=NC3=CC(=C(C=C3[NH]2)C4=CC=C(C=C4)C5=CC=CC=C5)Cl)C=C1C(O)=O
S8818,V-9302,CC1=CC(=CC=C1)COC2=C(CN(CCC(N)C(O)=O)CC3=CC=CC=C3OCC4=CC=CC(=C4)C)C=CC=C2
S9013,Paulownin,OC12COC(C1COC2C3=CC4=C(OCO4)C=C3)C5=CC6=C(OCO6)C=C5
S9017,Columbianadin,C\C=C(C)/C(=O)OC(C)(C)C1CC2=C(O1)C=CC3=C2OC(=O)C=C3
S9018,Luteoloside,OCC1OC(OC2=CC3=C(C(=C2)O)C(=O)C=C(O3)C4=CC=C(O)C(=C4)O)C(O)C(O)C1O
S9021,(20R)Ginsenoside Rg3,CC(C)=CCCC(C)(O)C1CCC2(C)C1C(O)CC3C4(C)CCC(OC5OC(CO)C(O)C(O)C5OC6OC(CO)C(O)C(O)C6O)C(C)(C)C4CCC23C
